epoch,step,test/acc,test/loss,train/acc,train/loss,val/acc,val/loss
0,3,,,,,0.6818181872367859,0.6726618409156799
0,3,,,0.6666666865348816,0.6624946594238281,,
1,7,,,,,0.6818181872367859,0.623661994934082
1,7,,,0.7314814925193787,0.5900792479515076,,
2,11,,,,,0.6818181872367859,0.650550901889801
2,11,,,0.8055555820465088,0.5132380127906799,,
3,15,,,,,0.6818181872367859,0.7823226451873779
3,15,,,0.7685185074806213,0.5042616724967957,,
4,19,,,,,0.6818181872367859,0.8595046997070312
4,19,,,0.8333333134651184,0.4631699025630951,,
5,23,,,,,0.6818181872367859,0.8968940377235413
5,23,,,0.8148148059844971,0.44153276085853577,,
6,27,,,,,0.6818181872367859,1.0167584419250488
6,27,,,0.7962962985038757,0.42875686287879944,,
7,28,0.9090909361839294,0.31745538115501404,,,,
