epoch,step,test/acc,test/loss,test/map.map,test/map.map_50,test/map.map_75,test/map.map_large,test/map.map_medium,test/map.map_small,test/map.mar_1,test/map.mar_10,test/map.mar_100,test/map.mar_large,test/map.mar_medium,test/map.mar_small,train/acc,train/loss,train/loss_step,val/acc,val/loss,val/map.map,val/map.map_50,val/map.map_75,val/map.map_large,val/map.map_medium,val/map.map_small,val/map.mar_1,val/map.mar_10,val/map.mar_100,val/map.mar_large,val/map.mar_medium,val/map.mar_small
0,6,,,,,,,,,,,,,,,,,,0.8604651093482971,0.5018693208694458,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,6,,,,,,,,,,,,,,,0.7281553149223328,0.6012205481529236,,,,,,,,,,,,,,,
1,13,,,,,,,,,,,,,,,,,,0.8604651093482971,0.3948496878147125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,13,,,,,,,,,,,,,,,0.8155339956283569,0.4522094130516052,,,,,,,,,,,,,,,
2,20,,,,,,,,,,,,,,,,,,0.8604651093482971,0.37902024388313293,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,20,,,,,,,,,,,,,,,0.844660222530365,0.383333295583725,,,,,,,,,,,,,,,
3,27,,,,,,,,,,,,,,,,,,0.8604651093482971,0.33912739157676697,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,27,,,,,,,,,,,,,,,0.8495145440101624,0.38215795159339905,,,,,,,,,,,,,,,
4,34,,,,,,,,,,,,,,,,,,0.8604651093482971,0.337220698595047,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,34,,,,,,,,,,,,,,,0.844660222530365,0.3384927213191986,,,,,,,,,,,,,,,
5,41,,,,,,,,,,,,,,,,,,0.8604651093482971,0.29152315855026245,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,41,,,,,,,,,,,,,,,0.8349514603614807,0.3594420850276947,,,,,,,,,,,,,,,
6,48,,,,,,,,,,,,,,,,,,0.8604651093482971,0.29127949476242065,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,48,,,,,,,,,,,,,,,0.8640776872634888,0.32995113730430603,,,,,,,,,,,,,,,
7,49,,,,,,,,,,,,,,,,,0.2540062665939331,,,,,,,,,,,,,,
7,55,,,,,,,,,,,,,,,,,,0.930232584476471,0.22566178441047668,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,55,,,,,,,,,,,,,,,0.8592233061790466,0.34055328369140625,,,,,,,,,,,,,,,
8,62,,,,,,,,,,,,,,,,,,0.930232584476471,0.20410515367984772,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,62,,,,,,,,,,,,,,,0.8495145440101624,0.33789825439453125,,,,,,,,,,,,,,,
9,69,,,,,,,,,,,,,,,,,,0.9534883499145508,0.20039349794387817,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
