epoch,step,test/acc,test/loss,train/acc,train/loss,train/loss_step,val/acc,val/loss
0,13,,,,,,0.6818181872367859,0.633063018321991
0,13,,,0.6944444179534912,0.6492471098899841,,,
1,27,,,,,,0.6818181872367859,0.6262033581733704
1,27,,,0.7314814925193787,0.5904431939125061,,,
2,41,,,,,,0.6818181872367859,0.6323091983795166
2,41,,,0.7314814925193787,0.5912297368049622,,,
3,49,,,,,0.5770894885063171,,
3,55,,,,,,0.6818181872367859,0.6323525309562683
3,55,,,0.7314814925193787,0.5829165577888489,,,
4,69,,,,,,0.6818181872367859,0.6325278878211975
4,69,,,0.7314814925193787,0.5798991918563843,,,
5,83,,,,,,0.6818181872367859,0.6327732801437378
5,83,,,0.7314814925193787,0.5875537395477295,,,
6,97,,,,,,0.6818181872367859,0.6334735751152039
6,97,,,0.7314814925193787,0.5860880613327026,,,
7,98,0.9090909361839294,0.3968731164932251,,,,,
