epoch,step,test/acc,test/loss,train/acc,train/loss,train/loss_step,val/acc,val/loss
0,29,,,,,,0.8039215803146362,0.5061551332473755
0,29,,,0.7478991746902466,0.6021280288696289,,,
1,49,,,,,0.4234287142753601,,
1,59,,,,,,0.8039215803146362,0.5001766681671143
1,59,,,0.7521008253097534,0.5607775449752808,,,
2,89,,,,,,0.8039215803146362,0.500738799571991
2,89,,,0.7521008253097534,0.5638808012008667,,,
3,99,,,,,0.5769566297531128,,
3,119,,,,,,0.8039215803146362,0.5031521916389465
3,119,,,0.7521008253097534,0.5618162751197815,,,
4,149,,,,,0.7514379024505615,,
4,149,,,,,,0.8039215803146362,0.500458836555481
4,149,,,0.7521008253097534,0.5664243102073669,,,
5,179,,,,,,0.8039215803146362,0.5044617056846619
5,179,,,0.7521008253097534,0.5580978393554688,,,
6,199,,,,,0.4231368899345398,,
6,209,,,,,,0.8039215803146362,0.5041037201881409
6,209,,,0.7521008253097534,0.5606734752655029,,,
7,239,,,,,,0.8039215803146362,0.5008656978607178
7,239,,,0.7521008253097534,0.5610648393630981,,,
8,249,,,,,0.5003365278244019,,
8,269,,,,,,0.8039215803146362,0.5016058087348938
8,269,,,0.7521008253097534,0.5638414621353149,,,
9,299,,,,,0.28924551606178284,,
9,299,,,,,,0.8039215803146362,0.5016411542892456
9,299,,,0.7521008253097534,0.5649516582489014,,,
10,329,,,,,,0.8039215803146362,0.5000718832015991
10,329,,,0.7521008253097534,0.55719393491745,,,
11,349,,,,,0.7249696254730225,,
11,359,,,,,,0.8039215803146362,0.5030673742294312
11,359,,,0.7521008253097534,0.5617932081222534,,,
12,389,,,,,,0.8039215803146362,0.5033575892448425
12,389,,,0.7521008253097534,0.563140332698822,,,
13,399,,,,,0.6955082416534424,,
13,419,,,,,,0.8039215803146362,0.4988158047199249
13,419,,,0.7521008253097534,0.5660710334777832,,,
14,449,,,,,0.4726842939853668,,
14,449,,,,,,0.8039215803146362,0.5084785223007202
14,449,,,0.7521008253097534,0.5634008646011353,,,
15,479,,,,,,0.8039215803146362,0.500824511051178
15,479,,,0.7521008253097534,0.5589169263839722,,,
16,499,,,,,0.42500418424606323,,
16,509,,,,,,0.8039215803146362,0.5017071962356567
16,509,,,0.7521008253097534,0.5588032603263855,,,
17,539,,,,,,0.8039215803146362,0.5044163465499878
17,539,,,0.7521008253097534,0.5627806186676025,,,
18,549,,,,,0.7281844615936279,,
18,569,,,,,,0.8039215803146362,0.5025785565376282
18,569,,,0.7521008253097534,0.5642917156219482,,,
19,599,,,,,0.6555324196815491,,
19,599,,,,,,0.8039215803146362,0.5017738938331604
19,599,,,0.7521008253097534,0.5612205862998962,,,
20,629,,,,,,0.8039215803146362,0.5013888478279114
20,629,,,0.7521008253097534,0.5600316524505615,,,
21,649,,,,,0.7051371335983276,,
21,659,,,,,,0.8039215803146362,0.499360591173172
21,659,,,0.7521008253097534,0.560029923915863,,,
22,689,,,,,,0.8039215803146362,0.5000888705253601
22,689,,,0.7521008253097534,0.5607963800430298,,,
23,699,,,,,0.5625073909759521,,
23,719,,,,,,0.8039215803146362,0.5029132962226868
23,719,,,0.7521008253097534,0.5594027042388916,,,
24,720,0.686274528503418,0.631246030330658,,,,,
