epoch,step,test/acc,test/loss,train/acc,train/loss,train/loss_step,val/acc,val/loss
0,41,,,,,,0.7746478915214539,0.5333489775657654
0,41,,,0.7410179376602173,0.594531774520874,,,
1,49,,,,,0.5767534971237183,,
1,83,,,,,,0.7746478915214539,0.5377368927001953
1,83,,,0.7440119981765747,0.5730496048927307,,,
2,99,,,,,0.5759757161140442,,
2,125,,,,,,0.7746478915214539,0.5356999635696411
2,125,,,0.7440119981765747,0.5738116502761841,,,
3,149,,,,,0.7126749753952026,,
3,167,,,,,,0.7746478915214539,0.5376346707344055
3,167,,,0.7440119981765747,0.5705223679542542,,,
4,199,,,,,0.35568052530288696,,
4,209,,,,,,0.7746478915214539,0.5341891050338745
4,209,,,0.7440119981765747,0.5709674954414368,,,
5,249,,,,,0.7067314982414246,,
5,251,,,,,,0.7746478915214539,0.5369892120361328
5,251,,,0.7440119981765747,0.5688197612762451,,,
6,293,,,,,,0.7746478915214539,0.5362921953201294
6,293,,,0.7440119981765747,0.5700786113739014,,,
7,299,,,,,0.5720150470733643,,
7,335,,,,,,0.7746478915214539,0.5323651432991028
7,335,,,0.7440119981765747,0.567644476890564,,,
8,349,,,,,0.4294888973236084,,
8,377,,,,,,0.7746478915214539,0.5333965420722961
8,377,,,0.7440119981765747,0.5717024207115173,,,
9,399,,,,,0.6407509446144104,,
9,419,,,,,,0.7746478915214539,0.532863199710846
9,419,,,0.7440119981765747,0.5665703415870667,,,
10,449,,,,,0.4105035960674286,,
10,461,,,,,,0.7746478915214539,0.5323723554611206
10,461,,,0.7440119981765747,0.566737949848175,,,
11,499,,,,,0.5522232055664062,,
11,503,,,,,,0.7746478915214539,0.5353714823722839
11,503,,,0.7440119981765747,0.5712552070617676,,,
12,545,,,,,,0.7746478915214539,0.5383927822113037
12,545,,,0.7440119981765747,0.572564959526062,,,
13,549,,,,,0.3590092062950134,,
13,587,,,,,,0.7746478915214539,0.5377728939056396
13,587,,,0.7440119981765747,0.5752338171005249,,,
14,599,,,,,0.8446966409683228,,
14,629,,,,,,0.7746478915214539,0.53328937292099
14,629,,,0.7440119981765747,0.5727540850639343,,,
15,649,,,,,0.5607895851135254,,
15,671,,,,,,0.7746478915214539,0.5329601168632507
15,671,,,0.7440119981765747,0.5678640007972717,,,
16,699,,,,,0.9187359809875488,,
16,713,,,,,,0.7746478915214539,0.5373502969741821
16,713,,,0.7440119981765747,0.5682216882705688,,,
17,749,,,,,0.7291866540908813,,
17,755,,,,,,0.7746478915214539,0.5326346158981323
17,755,,,0.7440119981765747,0.5701660513877869,,,
18,797,,,,,,0.7746478915214539,0.532416582107544
18,797,,,0.7440119981765747,0.5700134634971619,,,
19,799,,,,,0.6236045360565186,,
19,839,,,,,,0.7746478915214539,0.5327330827713013
19,839,,,0.7440119981765747,0.5655988454818726,,,
20,849,,,,,0.42377346754074097,,
20,881,,,,,,0.7746478915214539,0.5321712493896484
20,881,,,0.7440119981765747,0.5707027316093445,,,
21,899,,,,,0.6415334939956665,,
21,923,,,,,,0.7746478915214539,0.5326321125030518
21,923,,,0.7440119981765747,0.5685621500015259,,,
22,949,,,,,0.5008305311203003,,
22,965,,,,,,0.7746478915214539,0.5316764116287231
22,965,,,0.7440119981765747,0.5645584464073181,,,
23,999,,,,,0.5244050025939941,,
23,1007,,,,,,0.7746478915214539,0.532478392124176
23,1007,,,0.7440119981765747,0.5676814317703247,,,
24,1049,,,,,0.4671480655670166,,
24,1049,,,,,,0.7746478915214539,0.5320702195167542
24,1049,,,0.7440119981765747,0.5691282749176025,,,
25,1091,,,,,,0.7746478915214539,0.5306884050369263
25,1091,,,0.7440119981765747,0.5656502842903137,,,
26,1099,,,,,0.5956544876098633,,
26,1133,,,,,,0.7746478915214539,0.5347412824630737
26,1133,,,0.7440119981765747,0.5669018030166626,,,
27,1149,,,,,0.47249311208724976,,
27,1175,,,,,,0.7746478915214539,0.5320330262184143
27,1175,,,0.7440119981765747,0.5674853920936584,,,
28,1199,,,,,0.4902651906013489,,
28,1217,,,,,,0.7746478915214539,0.5338093638420105
28,1217,,,0.7440119981765747,0.5680928230285645,,,
29,1249,,,,,0.5836597084999084,,
29,1259,,,,,,0.7746478915214539,0.5331277251243591
29,1259,,,0.7440119981765747,0.5713407397270203,,,
30,1299,,,,,0.4250534176826477,,
30,1301,,,,,,0.7746478915214539,0.5319780111312866
30,1301,,,0.7440119981765747,0.5700395107269287,,,
31,1343,,,,,,0.7746478915214539,0.5301194787025452
31,1343,,,0.7440119981765747,0.5685651302337646,,,
32,1349,,,,,0.6219930052757263,,
32,1385,,,,,,0.7746478915214539,0.5306245684623718
32,1385,,,0.7440119981765747,0.5673068165779114,,,
33,1399,,,,,0.4604196548461914,,
33,1427,,,,,,0.7746478915214539,0.5296733975410461
33,1427,,,0.7440119981765747,0.5704218149185181,,,
34,1449,,,,,0.43671858310699463,,
34,1469,,,,,,0.7746478915214539,0.5297583937644958
34,1469,,,0.7440119981765747,0.574531078338623,,,
35,1499,,,,,0.8257693648338318,,
35,1511,,,,,,0.7746478915214539,0.5318729281425476
35,1511,,,0.7440119981765747,0.5685155987739563,,,
36,1549,,,,,0.37846189737319946,,
36,1553,,,,,,0.7746478915214539,0.5330358147621155
36,1553,,,0.7440119981765747,0.5677840113639832,,,
37,1595,,,,,,0.7746478915214539,0.5302249789237976
37,1595,,,0.7440119981765747,0.5694127082824707,,,
38,1599,,,,,0.8099268078804016,,
38,1637,,,,,,0.7746478915214539,0.5313549041748047
38,1637,,,0.7440119981765747,0.5651563405990601,,,
39,1649,,,,,0.839627742767334,,
39,1679,,,,,,0.7746478915214539,0.5334837436676025
39,1679,,,0.7440119981765747,0.5680568218231201,,,
40,1699,,,,,0.49286949634552,,
40,1721,,,,,,0.7746478915214539,0.5299931168556213
40,1721,,,0.7440119981765747,0.5669676065444946,,,
41,1749,,,,,0.7819504737854004,,
41,1763,,,,,,0.7746478915214539,0.5364346504211426
41,1763,,,0.7440119981765747,0.5688453912734985,,,
42,1799,,,,,0.5733226537704468,,
42,1805,,,,,,0.7746478915214539,0.5332931876182556
42,1805,,,0.7440119981765747,0.5677221417427063,,,
43,1847,,,,,,0.7746478915214539,0.5305761694908142
43,1847,,,0.7440119981765747,0.5662733912467957,,,
44,1849,,,,,0.48959264159202576,,
44,1889,,,,,,0.7746478915214539,0.5321141481399536
44,1889,,,0.7440119981765747,0.5702543258666992,,,
45,1899,,,,,0.508857786655426,,
45,1931,,,,,,0.7746478915214539,0.5293319225311279
45,1931,,,0.7440119981765747,0.5669201016426086,,,
46,1949,,,,,0.5505467653274536,,
46,1973,,,,,,0.7746478915214539,0.5286113023757935
46,1973,,,0.7440119981765747,0.5695968270301819,,,
47,1999,,,,,0.9210546612739563,,
47,2015,,,,,,0.7746478915214539,0.5311241745948792
47,2015,,,0.7440119981765747,0.5689458250999451,,,
48,2049,,,,,0.6692477464675903,,
48,2057,,,,,,0.7746478915214539,0.5292099118232727
48,2057,,,0.7440119981765747,0.5676061511039734,,,
49,2099,,,,,0.7289021015167236,,
49,2099,,,,,,0.7746478915214539,0.5328572392463684
49,2099,,,0.7440119981765747,0.5717240571975708,,,
50,2141,,,,,,0.7746478915214539,0.5296337008476257
50,2141,,,0.7440119981765747,0.5674262642860413,,,
51,2149,,,,,0.5816082954406738,,
51,2183,,,,,,0.7746478915214539,0.5304663181304932
51,2183,,,0.7440119981765747,0.5674597024917603,,,
52,2199,,,,,0.4941011667251587,,
52,2225,,,,,,0.7746478915214539,0.5313487648963928
52,2225,,,0.7440119981765747,0.567618727684021,,,
53,2249,,,,,0.5234564542770386,,
53,2267,,,,,,0.7746478915214539,0.5312432050704956
53,2267,,,0.7440119981765747,0.5679429769515991,,,
54,2299,,,,,0.43312740325927734,,
54,2309,,,,,,0.7746478915214539,0.5313323736190796
54,2309,,,0.7440119981765747,0.5714441537857056,,,
55,2349,,,,,0.646359384059906,,
55,2351,,,,,,0.7746478915214539,0.5298988819122314
55,2351,,,0.7440119981765747,0.5705784559249878,,,
56,2393,,,,,,0.7746478915214539,0.5295835137367249
56,2393,,,0.7440119981765747,0.5722306966781616,,,
57,2399,,,,,0.4897037148475647,,
57,2435,,,,,,0.7746478915214539,0.5308862328529358
57,2435,,,0.7440119981765747,0.5731724500656128,,,
58,2449,,,,,0.6310268044471741,,
58,2477,,,,,,0.7746478915214539,0.5327363610267639
58,2477,,,0.7440119981765747,0.5718090534210205,,,
59,2499,,,,,0.43224114179611206,,
59,2519,,,,,,0.7746478915214539,0.5324969291687012
59,2519,,,0.7440119981765747,0.5727232694625854,,,
60,2549,,,,,0.7811324596405029,,
60,2561,,,,,,0.7746478915214539,0.5305363535881042
60,2561,,,0.7440119981765747,0.5626797080039978,,,
61,2599,,,,,0.6355777382850647,,
61,2603,,,,,,0.7746478915214539,0.5297302007675171
61,2603,,,0.7440119981765747,0.5682845115661621,,,
62,2604,0.7535211443901062,0.5547046065330505,,,,,
