epoch,step,test/acc,test/loss,test/precision,test/recall,train/loss,train/loss_step,val/acc,val/loss,val/precision,val/recall
0,49,,,,,,0.43738889694213867,,,,
0,99,,,,,,0.3586515188217163,,,,
0,137,,,,,,,0.7923728823661804,0.42905110120773315,0.7296736836433411,0.6971428394317627
0,137,,,,,0.47894835472106934,,,,,
1,149,,,,,,0.6592971086502075,,,,
1,199,,,,,,0.255647212266922,,,,
1,249,,,,,,0.5302762985229492,,,,
1,275,,,,,,,0.8029661178588867,0.42252668738365173,0.7460756301879883,0.709625244140625
1,275,,,,,0.4510451555252075,,,,,
2,299,,,,,,0.40833765268325806,,,,
2,349,,,,,,0.21417230367660522,,,,
2,399,,,,,,0.3897360861301422,,,,
2,413,,,,,,,0.8114407062530518,0.41488349437713623,0.7687316536903381,0.6993208527565002
2,413,,,,,0.4360816478729248,,,,,
3,449,,,,,,0.4398052990436554,,,,
3,499,,,,,,0.3104851245880127,,,,
3,549,,,,,,0.31136152148246765,,,,
3,551,,,,,,,0.7542372941970825,0.4970468282699585,0.7220394611358643,0.5379390716552734
3,551,,,,,0.4315641522407532,,,,,
4,599,,,,,,0.39801886677742004,,,,
4,649,,,,,,0.4579072594642639,,,,
4,689,,,,,,,0.8114407062530518,0.4193274974822998,0.7608732581138611,0.7153395414352417
4,689,,,,,0.4334685802459717,,,,,
5,699,,,,,,0.28000134229660034,,,,
5,749,,,,,,0.37839847803115845,,,,
5,799,,,,,,0.254919171333313,,,,
5,827,,,,,,,0.7754237055778503,0.4316226541996002,0.7334324717521667,0.6029508113861084
5,827,,,,,0.4162834882736206,,,,,
6,828,0.7754237055778503,0.44380155205726624,0.742155909538269,0.5917685031890869,,,,,,
